Symbol,Name,결산월,회계년,주기,영업수익(천원),영업비용(천원),영업이익(천원),당기순이익(천원),총자본(천원),유형자산(천원),유동자산(천원),유동부채(천원),당좌자산(천원),현금및현금성자산(천원),단기금융상품(천원),매출채권(천원),재고자산(천원),총자산(천원),매출원가(천원),매출액(천원),판매비와관리비(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),유무형자산상각비(천원)
A004920,씨아이테크,12,2012,Annual,5891227.0,7304319.0,-1413092.0,-7245074.0,17326304.0,10734770.0,4687452.0,450563.0,4457517.0,1099700.0,0.0,1902038.0,229936.0,17891629.0,5366299.0,5891227.0,1938020.0,114762.0,-18789.0,16796.0
A004920,씨아이테크,12,2013,Annual,5398623.0,6899847.0,-1501224.0,-1136433.0,19118357.0,10030688.0,1801650.0,856142.0,1526896.0,289050.0,0.0,951800.0,274753.0,24863437.0,4682575.0,5398623.0,2217272.0,4888938.0,-570670.0,263381.0
A004920,씨아이테크,12,2014,Annual,4778994.0,6891009.0,-2112015.0,-2792018.0,18638021.0,8544946.0,4223681.0,6799842.0,3860276.0,790783.0,0.0,1598956.0,363405.0,25754700.0,4499648.0,4778994.0,2391361.0,316838.0,-2554854.0,369636.0
A004920,씨아이테크,12,2015,Annual,11495370.0,10792137.0,703233.0,691232.0,28537642.0,8256704.0,8893575.0,6729969.0,8152984.0,1414498.0,0.0,6331860.0,740591.0,35881941.0,7431809.0,11495370.0,3360328.0,614329.0,-2212807.0,177370.0
A004920,씨아이테크,12,2016,Annual,8568828.0,10333305.0,-1764477.0,-2646656.0,32119148.0,8080027.0,6341297.0,1079827.0,5377666.0,573939.0,0.0,2722250.0,963631.0,35179893.0,6547544.0,8568828.0,3785762.0,1980919.0,-3110215.0,247504.0
A004920,씨아이테크,12,2017,Annual,8679568.0,13190257.0,-4510689.0,-11269570.0,20673420.0,7533523.0,7755326.0,5349423.0,7102786.0,3044819.0,0.0,2427700.0,652540.0,31326807.0,6726647.0,8679568.0,6463610.0,5303964.0,295946.0,752583.0
A004920,씨아이테크,12,2018,Annual,12162305.0,14319084.0,-2156779.0,-4844826.0,21055373.0,7405764.0,7591126.0,6699650.0,6398046.0,2703752.0,50000.0,2636603.0,1193080.0,29064073.0,9245221.0,12162305.0,5073864.0,1309050.0,-1633213.0,655075.0
A004920,씨아이테크,12,2019,Annual,15662771.0,17300565.0,-1637794.0,-2606576.0,29821645.0,1204294.0,6447280.0,5337345.0,4753899.0,1795210.0,50000.0,1948534.0,1693381.0,39052294.0,11849792.0,15662771.0,5450772.0,3893304.0,1314219.0,1163474.0
A004920,씨아이테크,12,2020,Annual,16542963.0,19289535.0,-2746572.0,-8043322.0,24977988.0,1484315.0,5657254.0,14996713.0,3822731.0,1016377.0,70000.0,2161597.0,1834523.0,44414767.0,12499504.0,16542963.0,6790031.0,4440066.0,-2165590.0,796839.0
A004920,씨아이테크,12,2021,Annual,16977463.0,18655906.0,-1678443.0,-8744015.0,35995408.0,1358501.0,13252683.0,11764197.0,8928946.0,1786535.0,70000.0,3019919.0,4323737.0,52389816.0,11936577.0,16977463.0,6719328.0,4630212.0,-3383571.0,636842.0
