Symbol,Name,결산월,회계년,주기,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA
A005850,에스엘,12,2020,Annual,1.05,0.91,0.93,1.11,0.01,0.88,0.99,-0.03
A005850,에스엘,12,2021,Annual,0.82,1.06,1.0,1.2,0.01,0.91,1.05,-0.03
A005850,에스엘,12,2022,Annual,0.98,0.86,1.16,1.39,0.01,1.09,1.02,0.01
A298050,효성첨단소재,12,2011,Annual,,,,,,,,
A298050,효성첨단소재,12,2012,Annual,,,,,,,,
A298050,효성첨단소재,12,2013,Annual,,,,,,,,
A298050,효성첨단소재,12,2014,Annual,,,,,,,,
A298050,효성첨단소재,12,2015,Annual,,,,,,,,
A298050,효성첨단소재,12,2016,Annual,,,,,,,,
A298050,효성첨단소재,12,2017,Annual,,,,,,,,
A298050,효성첨단소재,12,2018,Annual,,,,,,,,-0.01
A298050,효성첨단소재,12,2019,Annual,0.57,0.88,0.88,1.73,0.01,0.97,1.03,0.01
A298050,효성첨단소재,12,2020,Annual,1.3,1.34,0.92,0.78,0.01,1.12,1.0,-0.12
A298050,효성첨단소재,12,2021,Annual,1.04,0.49,0.87,1.5,0.01,0.76,0.9,0.07
A298050,효성첨단소재,12,2022,Annual,0.79,1.3,1.03,1.07,0.01,0.98,0.97,-0.01
A002710,TCC스틸,12,2011,Annual,,,,,,,,0.05
A002710,TCC스틸,12,2012,Annual,0.9,0.95,0.82,0.97,0.01,1.26,1.16,0.02
A002710,TCC스틸,12,2013,Annual,0.97,1.62,0.91,1.0,0.01,0.92,1.06,0.04
A002710,TCC스틸,12,2014,Annual,1.3,0.65,0.98,0.97,0.01,0.87,1.06,0.06
A002710,TCC스틸,12,2015,Annual,0.77,0.93,0.57,1.02,0.01,0.95,1.17,-0.04
A002710,TCC스틸,12,2016,Annual,0.95,0.95,2.06,0.9,0.02,1.04,0.84,0.18
A002710,TCC스틸,12,2017,Annual,0.95,1.06,1.02,0.88,0.01,1.14,0.99,0.03
