Symbol,Name,상장연도,결산월,회계년,주기,ROE(세전계속사업이익)(%),총자본증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),부채비율(%),총자본회전율(회),현금흐름/총자본(%)
A007700,F&F홀딩스,1984,12,2018,Annual,40.81,33.4,-6.79,45.95,25.59,1.94,34.41
A007700,F&F홀딩스,1984,12,2019,Annual,34.37,22.53,64.82,0.59,41.49,2.07,31.96
A007700,F&F홀딩스,1984,12,2020,Annual,-0.77,14.06,적전,-22.36,48.23,0.04,23.44
A007700,F&F홀딩스,1984,12,2021,Annual,14.12,353.83,흑전,"2,244.71",26.68,0.48,127.53
A007700,F&F홀딩스,1984,12,2022,Annual,21.52,15.38,132.44,-79.14,24.44,0.67,9.11
A006360,GS건설,1981,12,2012,Annual,4.62,-0.75,-59.15,-77.78,199.76,2.43,4.84
A006360,GS건설,1981,12,2013,Annual,-28.03,-19.58,적전,적전,293.36,2.70,-20.37
A006360,GS건설,1981,12,2014,Annual,-0.88,13.37,흑전,적지,265.61,2.81,1.07
A006360,GS건설,1981,12,2015,Annual,0.90,-6.52,138.56,흑전,288.45,3.05,3.16
A006360,GS건설,1981,12,2016,Annual,0.64,0.15,17.13,적전,298.92,3.29,1.25
A006360,GS건설,1981,12,2017,Annual,-4.88,-3.38,122.88,적지,322.77,3.54,-3.38
A006360,GS건설,1981,12,2018,Annual,24.33,11.88,234.04,흑전,231.98,3.83,18.52
A006360,GS건설,1981,12,2019,Annual,17.35,14.3,-27.92,-23.82,217.91,2.68,14.88
A006360,GS건설,1981,12,2020,Annual,12.26,4.08,-2.2,-26.33,219.35,2.39,11.16
A006360,GS건설,1981,12,2021,Annual,14.33,13,-13.85,30.07,211.61,1.97,12.24
A006360,GS건설,1981,12,2022,Annual,13.00,9.92,-14.18,2.89,216.39,2.40,10.82
A078930,GS,2004,12,2012,Annual,9.65,5.65,-26.59,-29.28,77.23,1.39,7.08
A078930,GS,2004,12,2013,Annual,7.03,3.51,-19.31,-24.04,70.2,1.31,4.90
A078930,GS,2004,12,2014,Annual,-3.52,-2.78,적전,적전,108.82,1.48,-4.74
A078930,GS,2004,12,2015,Annual,17.09,12.19,흑전,흑전,134.91,1.59,6.43
A078930,GS,2004,12,2016,Annual,19.15,10.16,9.34,81.28,128.03,1.58,9.47
A078930,GS,2004,12,2017,Annual,20.17,8.32,16.34,18.26,127.72,1.68,10.61
A078930,GS,2004,12,2018,Annual,19.22,8.92,8.28,-5.63,115.02,1.76,8.95
A078930,GS,2004,12,2019,Annual,16.47,4.66,-8,-35.08,124.53,1.65,5.05
A078930,GS,2004,12,2020,Annual,3.96,-2.35,-54.72,적전,127.55,1.42,-2.23
A078930,GS,2004,12,2021,Annual,22.86,32.04,188.01,흑전,119.61,1.62,11.61
A078930,GS,2004,12,2022,Annual,31.02,16.09,93.12,53.76,105.74,1.86,13.96
A012630,HDC,1996,12,2012,Annual,1.68,-2.22,-74.19,-97.64,173.43,1.36,1.62
A012630,HDC,1996,12,2013,Annual,-10.45,-9.29,적전,적전,191.55,1.82,-6.86
A012630,HDC,1996,12,2014,Annual,5.44,3.21,흑전,흑전,161.18,2.00,4.95
A012630,HDC,1996,12,2015,Annual,13.67,8.71,72.86,186.34,122.99,1.94,10.93
A012630,HDC,1996,12,2016,Annual,17.59,11.49,32.78,38.72,109.97,1.82,13.33
A012630,HDC,1996,12,2017,Annual,1.69,7.53,-83.46,24.99,120.74,0.53,15.03
A012630,HDC,1996,12,2018,Annual,4.50,-28.91,11.54,125.13,61.9,0.61,38.00
A012630,HDC,1996,12,2019,Annual,13.81,11.64,34.26,-70.46,79.01,0.73,13.85
A012630,HDC,1996,12,2020,Annual,8.63,84.81,325.12,-30.44,121.33,1.18,5.85
A012630,HDC,1996,12,2021,Annual,8.43,10.58,-32.31,20.32,121.68,1.04,5.49
A012630,HDC,1996,12,2022,Annual,2.77,0.58,-57,-83.95,139.87,1.05,2.01
A294870,HDC현대산업개발,2018,12,2018,Annual,,,,,163.69,,
A294870,HDC현대산업개발,2018,12,2019,Annual,27.42,21,73.46,79.97,97.58,2.07,21.57
A294870,HDC현대산업개발,2018,12,2020,Annual,13.97,22.91,6.21,-46.77,122.97,1.48,10.32
A294870,HDC현대산업개발,2018,12,2021,Annual,10.46,5.19,-53.32,-19.95,127.58,1.20,7.64
A294870,HDC현대산업개발,2018,12,2022,Annual,4.18,0.58,-57.44,-71.51,152.81,1.14,3.34
A097230,HJ중공업,2007,12,2012,Annual,-2.40,-8.11,-40.85,적지,283.85,1.42,3.23
A097230,HJ중공업,2007,12,2013,Annual,-15.33,-4.46,적전,적지,307.77,1.51,-4.99
A097230,HJ중공업,2007,12,2014,Annual,-19.90,-4.02,적지,적지,311.31,1.57,-12.53
A097230,HJ중공업,2007,12,2015,Annual,-33.53,-25.11,적지,적지,388.51,2.23,-21.14
A097230,HJ중공업,2007,12,2016,Annual,-30.28,-22.11,적지,적지,475.29,2.68,-22.12
A097230,HJ중공업,2007,12,2017,Annual,-19.93,-37.1,적지,적지,628.81,2.20,-25.73
A097230,HJ중공업,2007,12,2018,Annual,완전잠식,당기잠식,흑전,적지,완전잠식,완전잠식,완전잠식
A097230,HJ중공업,2007,12,2019,Annual,완전잠식,전기잠식,35.93,흑전,908.28,완전잠식,완전잠식
A097230,HJ중공업,2007,12,2020,Annual,4.56,30.62,-38.42,-74.41,585.57,6.00,34.73
A097230,HJ중공업,2007,12,2021,Annual,-41.93,35,적전,적전,452.13,4.54,-32.02
A097230,HJ중공업,2007,12,2022,Annual,-12.64,-10.88,흑전,적지,566.95,4.38,-7.33
A014790,HL D&I,1994,12,2012,Annual,-41.39,-5.55,적전,적전,365.14,2.85,-29.17
A014790,HL D&I,1994,12,2013,Annual,-81.05,-10.64,적지,적지,333.57,3.12,-68.98
A014790,HL D&I,1994,12,2014,Annual,-27.43,-25.99,흑전,적지,365.53,3.62,-27.36
A014790,HL D&I,1994,12,2015,Annual,-25.90,-27.81,-16.89,적지,606.99,4.81,-26.00
A014790,HL D&I,1994,12,2016,Annual,7.60,8.82,208.55,흑전,489.53,5.43,6.27
A014790,HL D&I,1994,12,2017,Annual,20.24,11.61,56.5,358.53,463.91,4.41,15.22
A014790,HL D&I,1994,12,2018,Annual,2.61,-32.34,-59.95,적전,575.21,3.95,-1.50
A014790,HL D&I,1994,12,2019,Annual,0.71,-1.73,13.06,흑전,508.34,4.95,9.70
A014790,HL D&I,1994,12,2020,Annual,40.11,43.33,32.64,"3,934.71",341.91,4.88,42.23
A014790,HL D&I,1994,12,2021,Annual,18.84,11.31,-12.48,-9.07,265.25,3.73,33.60
A014790,HL D&I,1994,12,2022,Annual,8.69,2.56,-33.04,-74.88,290.32,3.49,10.51
A204320,HL만도,2014,12,2014,Annual,,,,,250.27,,
A204320,HL만도,2014,12,2015,Annual,16.33,24.37,235.15,170.55,204.58,4.30,28.45
A204320,HL만도,2014,12,2016,Annual,19.38,10.93,14.82,62.13,194.67,4.07,29.72
A204320,HL만도,2014,12,2017,Annual,1.32,-6.79,-72.61,-91.31,215.17,3.88,17.07
A204320,HL만도,2014,12,2018,Annual,9.77,4.92,136.35,518.75,199.46,3.91,26.08
A204320,HL만도,2014,12,2019,Annual,11.51,7.01,10.72,4.7,189.83,3.90,26.81
A204320,HL만도,2014,12,2020,Annual,0.32,7.82,-59.42,-88.28,188.86,3.38,18.91
A204320,HL만도,2014,12,2021,Annual,12.15,19.58,161.9,"1,188.58",179.04,3.28,26.32
A204320,HL만도,2014,12,2022,Annual,10.65,11.23,6.8,-33.78,157.1,3.48,20.25
A060980,HL홀딩스,2010,12,2012,Annual,13.99,11.1,-14.81,-27.99,157.42,3.40,22.34
A060980,HL홀딩스,2010,12,2013,Annual,0.06,9.66,-88.07,9.65,195.4,0.57,23.02
A060980,HL홀딩스,2010,12,2014,Annual,3.50,-45.01,62.79,508.64,77.68,0.69,92.09
A060980,HL홀딩스,2010,12,2015,Annual,9.79,-0.26,93.05,-92.63,70.37,0.95,9.34
A060980,HL홀딩스,2010,12,2016,Annual,8.26,1.46,-2.55,0.92,100.11,0.89,9.59
