Symbol,Name,결산월,회계년,주기,부채비율(%),유동비율,유동자산(천원),유동부채(천원),당좌비율,당좌자산(천원),유동부채(천원),현금비율,현금및현금성자산(천원),유동부채(천원),유형자산구성비율(%),무형자산구성비율(%),판매비와관리비증가율(전년동기)(%),타인자본비율(%),매출액(천원),단기금융상품(천원)
A005490,POSCO홀딩스,12,2018,Annual,19.56,,"16,796,400,047","3,895,972,889",,"11,508,391,314","3,895,972,889",,"259,219,202","3,895,972,889",37.24,1.19,-38.32,16.36,"30,659,425,434","7,025,122,000"
A005490,POSCO홀딩스,12,2019,Annual,22.13,,"18,216,066,010","3,331,446,367",,"13,227,536,171","3,331,446,367",,"978,138,799","3,331,446,367",36.14,1.27,-3.16,18.12,"30,373,510,739","7,552,817,000"
A005490,POSCO홀딩스,12,2020,Annual,25.89,,"19,579,953,330","5,089,110,670",,"15,486,123,934","5,089,110,670",,"1,822,659,511","5,089,110,670",35.60,1.10,-3.21,20.57,"26,509,920,446","9,454,262,144"
A005490,POSCO홀딩스,12,2021,Annual,31.01,,"25,918,879,999","7,868,269,047",,"18,295,677,956","7,868,269,047",,"2,042,273,512","7,868,269,047",30.78,0.86,7.87,23.67,"39,920,200,837","9,450,771,738"
A005490,POSCO홀딩스,12,2022,Annual,8.43,,"4,308,290,115","118,993,022",,"4,308,290,115","118,993,022",,"1,415,201,183","118,993,022",0.28,0.03,-60.17,7.78,"8,589,818,953","2,515,375,275"
A035420,NAVER,12,2011,Annual,24.38,,"904,056,144","215,515,853",,"904,056,144","215,515,853",,"199,123,618","215,515,853",13.36,1.72,11.45,19.60,"1,435,148,217","243,095,279"
A035420,NAVER,12,2012,Annual,33.08,,"1,157,654,571","363,121,102",,"1,157,654,571","363,121,102",,"133,462,068","363,121,102",13.66,1.68,-21.59,24.86,"1,131,382,860","527,896,986"
A035420,NAVER,12,2013,Annual,39.98,,"752,776,075","375,130,507",,"752,776,075","375,130,507",,"101,266,164","375,130,507",24.64,1.52,3.36,28.56,"1,223,505,708","244,000,000"
A035420,NAVER,12,2014,Annual,42.75,,"1,278,051,845","394,970,221",,"1,278,051,845","394,970,221",,"393,569,581","394,970,221",24.99,1.38,46.15,29.95,"1,637,164,959","350,659,645"
A035420,NAVER,12,2015,Annual,42.43,,"1,804,796,319","739,150,464",,"1,803,725,821","739,150,464",,"355,121,987","739,150,464",19.57,1.08,42.10,29.79,"2,141,274,744","873,657,801"
A035420,NAVER,12,2016,Annual,42.34,,"2,108,036,835","875,568,258",,"2,107,154,942","875,568,258",,"203,718,076","875,568,258",17.29,1.00,16.23,29.74,"2,496,498,317","1,103,579,767"
A035420,NAVER,12,2017,Annual,35.80,,"2,629,855,600","1,266,827,513",,"2,626,430,965","1,266,827,513",,"457,779,231","1,266,827,513",14.33,0.76,14.68,26.36,"2,930,661,325","1,196,197,600"
A035420,NAVER,12,2018,Annual,30.10,,"1,226,980,759","1,210,779,990",,"1,224,393,317","1,210,779,990",,"111,029,337","1,210,779,990",13.61,0.65,25.28,23.14,"3,459,014,043","232,338,861"
A035420,NAVER,12,2019,Annual,20.65,,"880,761,993","908,932,800",,"879,854,736","908,932,800",,"414,429,035","908,932,800",12.83,0.54,14.15,17.12,"3,900,013,296","3,998,800"
A035420,NAVER,12,2020,Annual,21.50,,"958,002,632","1,269,469,278",,"955,456,006","1,269,469,278",,"369,314,307","1,269,469,278",12.23,0.45,7.17,17.70,"4,126,629,313","3,998,800"
A035420,NAVER,12,2021,Annual,38.90,,"1,779,773,191","1,334,494,720",,"1,778,115,326","1,334,494,720",,"964,418,444","1,334,494,720",11.03,0.41,28.82,28.00,"5,018,667,294","205,748,800"
A035420,NAVER,12,2022,Annual,41.16,,"2,030,745,993","1,503,358,000",,"2,030,081,733","1,503,358,000",,"841,798,145","1,503,358,000",12.63,0.52,14.42,29.16,"5,512,586,322","513,311,636"
A006400,삼성SDI,12,2011,Annual,31.90,,"1,584,699,191","1,490,819,648",,"1,287,913,059","1,490,819,648",,"241,928,276","1,490,819,648",18.36,1.94,5.44,24.18,"4,539,033,205","20,000,000"
A006400,삼성SDI,12,2012,Annual,36.14,,"1,601,076,534","1,407,356,852",,"1,346,993,274","1,407,356,852",,"347,205,343","1,407,356,852",10.13,1.20,17.01,26.54,"4,907,778,303","25,000,000"
A006400,삼성SDI,12,2013,Annual,34.67,,"1,257,745,023","1,247,340,874",,"993,793,359","1,247,340,874",,"282,621,326","1,247,340,874",10.94,1.64,1.18,25.74,"2,918,542,090","25,000,000"
A006400,삼성SDI,12,2014,Annual,31.59,,"2,730,590,660","1,945,010,648",,"2,218,693,127","1,945,010,648",,"142,839,455","1,945,010,648",17.10,6.86,40.23,24.01,"4,720,208,061","1,026,840,000"
A006400,삼성SDI,12,2015,Annual,35.70,,"3,473,781,558","2,473,160,240",,"2,972,652,783","2,473,160,240",,"355,595,072","2,473,160,240",15.75,6.75,28.62,26.31,"4,208,369,147","513,802,319"
A006400,삼성SDI,12,2016,Annual,28.37,,"2,744,508,423","1,765,267,182",,"2,285,773,711","1,765,267,182",,"396,717,142","1,765,267,182",10.34,5.66,55.33,22.10,"4,422,860,767","867,861,007"
A006400,삼성SDI,12,2017,Annual,27.68,,"2,521,244,047","1,960,548,413",,"2,023,282,960","1,960,548,413",,"759,287,036","1,960,548,413",11.14,5.45,-43.19,21.68,"5,445,917,363","27,861,007"
A006400,삼성SDI,12,2018,Annual,42.24,,"3,790,745,495","2,790,083,714",,"2,841,484,656","2,790,083,714",,"564,832,366","2,790,083,714",14.74,4.58,28.29,29.69,"8,186,909,424","82,950,000"
A006400,삼성SDI,12,2019,Annual,36.87,,"3,342,016,826","2,444,069,129",,"2,625,957,749","2,444,069,129",,"553,428,048","2,444,069,129",14.87,4.53,32.84,26.94,"8,250,811,205","75,450,000"
A006400,삼성SDI,12,2020,Annual,36.26,,"3,423,162,392","2,858,583,593",,"2,647,401,330","2,858,583,593",,"682,986,302","2,858,583,593",14.90,4.30,-4.08,26.61,"9,101,397,947","75,000,000"
A006400,삼성SDI,12,2021,Annual,40.46,,"4,617,780,013","3,573,102,960",,"3,810,232,072","3,573,102,960",,"1,231,589,883","3,573,102,960",11.61,3.97,18.89,28.80,"11,581,771,057","95,000,000"
A006400,삼성SDI,12,2022,Annual,48.93,,"6,272,667,841","4,800,392,273",,"5,182,460,834","4,800,392,273",,"1,027,390,541","4,800,392,273",10.30,3.58,21.76,32.86,"17,458,293,610","465,000,000"
A051910,LG화학,12,2011,Annual,47.44,,"6,071,787,000","3,833,483,000",,"4,050,520,000","3,833,483,000",,"1,105,301,000","3,833,483,000",45.54,1.44,11.61,32.17,"19,809,874,000","12,000,000"
A051910,LG화학,12,2012,Annual,44.94,,"6,289,234,000","3,394,450,000",,"4,119,633,000","3,394,450,000",,"448,967,000","3,394,450,000",48.03,1.51,12.59,31.01,"20,442,790,000","632,000,000"
A051910,LG화학,12,2013,Annual,38.90,,"6,689,921,000","3,286,775,000",,"4,692,365,000","3,286,775,000",,"1,076,468,000","3,286,775,000",47.27,1.64,12.31,28.01,"20,255,935,000","527,600,000"
A051910,LG화학,12,2014,Annual,37.59,,"6,756,841,000","3,738,040,000",,"4,699,419,000","3,738,040,000",,"717,965,000","3,738,040,000",46.43,1.84,7.26,27.32,"19,675,975,000","777,200,000"
A051910,LG화학,12,2015,Annual,30.43,,"7,114,410,000","3,412,605,000",,"5,418,928,000","3,412,605,000",,"1,423,061,000","3,412,605,000",45.77,2.08,8.01,23.33,"17,334,109,000","981,000,000"
A051910,LG화학,12,2016,Annual,24.48,,"6,784,724,000","3,138,763,000",,"5,009,713,000","3,138,763,000",,"956,068,000","3,138,763,000",43.33,2.37,8.13,19.67,"17,264,845,000","710,000,000"
A051910,LG화학,12,2017,Annual,36.39,,"8,377,679,000","4,458,776,000",,"6,303,124,000","4,458,776,000",,"1,649,689,000","4,458,776,000",39.47,6.71,27.85,26.68,"20,880,236,000","500,000,000"
A051910,LG화학,12,2018,Annual,43.39,,"8,602,837,000","4,320,708,000",,"6,176,473,000","4,320,708,000",,"1,690,862,000","4,320,708,000",39.29,6.22,17.13,30.26,"23,315,318,000",0
A051910,LG화학,12,2019,Annual,64.20,,"8,349,633,000","4,976,280,000",,"5,679,339,000","4,976,280,000",,"1,002,263,000","4,976,280,000",39.30,6.22,28.62,39.10,"21,809,592,000",0
