Symbol,Name,결산월,회계년,주기,매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),영업이익(천원),당기순이익증가율,당기순이익(천원),총자본증가율,총자본(천원),유형자산(천원)
A007280,한국특강,12,2011,Annual,15.54,119.54,"17,736,374",,"3,566,490",,"117,183,415","328,283,811"
A007280,한국특강,12,2012,Annual,-6.81,-52.00,"8,512,708",,"3,465,131",,"120,087,900","312,939,785"
A007280,한국특강,12,2013,Annual,-13.02,-99.28,"61,005",,"-11,047,283",,"107,124,642","296,239,956"
A007280,한국특강,12,2014,Annual,-23.09,"2,549.91","1,616,575",,"-20,181,680",,"88,492,860","287,116,343"
A007280,한국특강,12,2015,Annual,-35.30,적전,"-19,653,131",,"-54,716,780",,"39,057,022","246,784,085"
A007280,한국특강,12,2016,Annual,-11.81,적지,"-4,889,126",,"4,061,512",,"58,851,135","212,710,378"
A007280,한국특강,12,2017,Annual,40.08,흑전,"8,506,256",,"11,596,252",,"61,804,500","199,978,389"
A007280,한국특강,12,2018,Annual,5.40,-46.65,"4,538,011",,"-5,715,603",,"94,670,893","201,091,486"
A007280,한국특강,12,2019,Annual,7.12,적전,"-7,421,460",,"-21,521,331",,"71,408,952","187,514,518"
A007280,한국특강,12,2020,Annual,6.23,흑전,"7,281,700",,"3,615,977",,"101,391,238","199,668,878"
A007280,한국특강,12,2021,Annual,66.51,452.25,"40,213,158",,"36,985,485",,"140,027,174","262,062,955"
A007280,한국특강,12,2022,Annual,15.10,-23.80,"30,643,132",,"40,633,591",,"199,701,203","316,156,246"
A002720,국제약품,12,2011,Annual,-23.15,-69.43,"2,491,896",,"876,814",,"74,342,068","41,883,266"
A002720,국제약품,12,2012,Annual,21.12,적전,"-14,753,296",,"-18,941,911",,"54,884,984","39,525,366"
A002720,국제약품,12,2013,Annual,-4.05,흑전,"1,881,642",,"2,693,214",,"58,867,900","36,998,909"
A002720,국제약품,12,2014,Annual,0.20,적전,"-1,451,311",,"-7,485,126",,"50,809,168","35,631,261"
A002720,국제약품,12,2015,Annual,-4.99,흑전,"1,559,889",,"-6,165,719",,"68,053,723","60,949,344"
A002720,국제약품,12,2016,Annual,2.99,150.63,"3,909,608",,"824,013",,"67,345,505","60,003,561"
A002720,국제약품,12,2017,Annual,6.35,-12.79,"3,409,552",,"710,891",,"67,276,822","60,502,977"
A002720,국제약품,12,2018,Annual,-13.07,-12.63,"2,978,857",,"1,698,291",,"67,712,088","61,144,981"
A002720,국제약품,12,2019,Annual,2.26,87.82,"5,594,783",,"-4,987,038",,"59,742,662","64,214,202"
A002720,국제약품,12,2020,Annual,16.38,10.73,"6,195,143",,"2,433,601",,"69,427,898","84,465,524"
A002720,국제약품,12,2021,Annual,-8.51,적전,"-1,747,038",,"-1,548,270",,"67,501,158","79,572,384"
A002720,국제약품,12,2022,Annual,6.79,흑전,"5,542,739",,"3,339,885",,"72,811,624","76,668,342"
A004890,동일산업,12,2011,Annual,5.59,-24.10,"43,344,545",,"38,121,366",,"286,463,942","98,753,042"
A004890,동일산업,12,2012,Annual,-14.17,-36.58,"27,490,126",,"28,894,786",,"308,920,365","98,103,336"
A004890,동일산업,12,2013,Annual,-13.40,-77.47,"6,193,893",,"9,299,107",,"306,533,026","96,573,620"
A004890,동일산업,12,2014,Annual,-4.14,68.20,"10,418,081",,"11,211,040",,"315,877,428","92,250,558"
A004890,동일산업,12,2015,Annual,-15.35,-81.15,"1,963,605",,"4,202,747",,"315,269,298","84,258,937"
