Symbol,Name,결산월,회계년,주기,부채비율(%),유동비율,유동자산(천원),유동부채(천원),당좌비율,당좌자산(천원),현금비율,현금및현금성자산(천원),유동부채(천원),매출액(천원),유동부채(천원),유형자산구성비율(%),무형자산구성비율(%),판매비와관리비증가율(전년동기)(%),타인자본비율(%),단기금융상품(천원)
A068760,셀트리온제약,12,2022,Annual,68.09,,"311,917,985","211,998,455",,"242,741,273",,"31,390,934","211,998,455","386,039,613","211,998,455",37.98,6.89,4.41,40.51,"17,677,100"
A403870,HPSP,12,2011,Annual,,,,,,,,,,,,,,,,
A403870,HPSP,12,2012,Annual,,,,,,,,,,,,,,,,
A403870,HPSP,12,2013,Annual,,,,,,,,,,,,,,,,
A403870,HPSP,12,2014,Annual,,,,,,,,,,,,,,,,
A403870,HPSP,12,2015,Annual,,,,,,,,,,,,,,,,
A403870,HPSP,12,2016,Annual,,,,,,,,,,,,,,,,
A403870,HPSP,12,2017,Annual,26.59,,"25,654,956","5,723,406",,"23,647,856",,"20,263,679","5,723,406","28,203,402","5,723,406",3.29,2.35,,21.01,0
A403870,HPSP,12,2018,Annual,9.27,,"11,438,509","1,112,298",,"6,660,962",,"5,287,169","1,112,298","2,362,335","1,112,298",5.77,3.71,-26.14,8.48,"770,371"
A403870,HPSP,12,2019,Annual,29.35,,"24,657,010","5,957,470",,"19,032,249",,"13,317,295","5,957,470","25,114,953","5,957,470",2.51,1.30,35.81,22.69,"6,576"
A403870,HPSP,12,2020,Annual,53.27,,"48,871,350","17,057,654",,"40,397,950",,"36,442,837","17,057,654","61,174,375","17,057,654",2.14,0.65,N/A(IFRS),34.75,0
A403870,HPSP,12,2021,Annual,73.69,,"86,883,750","36,314,834",,"69,340,798",,"54,235,258","36,314,834","91,752,312","36,314,834",1.13,0.29,1.25,42.43,0
A403870,HPSP,12,2022,Annual,33.55,,"245,046,978","63,423,915",,"211,153,941",,"130,015,123","63,423,915","159,336,323","63,423,915",3.88,0.10,51.83,25.12,"64,658,650"
A277810,레인보우로보틱스,12,2011,Annual,,,,,,,,,,,,,,,,
A277810,레인보우로보틱스,12,2012,Annual,,,,,,,,,,,,,,,,
A277810,레인보우로보틱스,12,2013,Annual,,,,,,,,,,,,,,,,
A277810,레인보우로보틱스,12,2014,Annual,,,,,,,,,,,,,,,,
A277810,레인보우로보틱스,12,2015,Annual,,,,,,,,,,,,,,,,
A277810,레인보우로보틱스,12,2016,Annual,23.01,,"3,673,717","745,418",,"3,383,420",,"2,129,458","745,418","2,714,190","745,418",4.63,0.42,,18.70,0
A277810,레인보우로보틱스,12,2017,Annual,5.57,,"11,227,325","566,979",,"10,855,560",,"7,473,083","566,979","4,103,518","566,979",15.91,0.13,25.37,5.27,"176,459"
A277810,레인보우로보틱스,12,2018,Annual,6.58,,"7,286,254","483,840",,"6,815,598",,"6,352,796","483,840","1,051,439","483,840",27.79,0.56,133.64,6.18,"230,000"
A277810,레인보우로보틱스,12,2019,Annual,14.82,,"3,954,082","570,584",,"2,556,559",,"1,937,029","570,584","1,693,984","570,584",41.07,0.65,61.29,12.91,"230,000"
A277810,레인보우로보틱스,12,2020,Annual,73.35,,"5,995,711","3,674,538",,"4,400,103",,"3,404,096","3,674,538","5,426,967","3,674,538",33.59,0.62,-34.13,42.31,0
A277810,레인보우로보틱스,12,2021,Annual,33.38,,"58,052,788","1,482,053",,"55,142,040",,"50,070,376","1,482,053","8,969,575","1,482,053",6.25,0.21,33.29,25.03,0
A277810,레인보우로보틱스,12,2022,Annual,23.84,,"62,007,316","3,184,296",,"56,896,845",,"47,573,745","3,184,296","13,615,412","3,184,296",5.70,0.24,4.68,19.25,"3,165,595"
A039030,이오테크닉스,12,2011,Annual,36.76,,"155,498,287","65,347,108",,"122,532,878",,"4,702,834","65,347,108","147,759,408","65,347,108",20.56,2.14,5.85,26.88,"26,303,388"
A039030,이오테크닉스,12,2012,Annual,46.77,,"185,076,018","94,484,950",,"142,460,893",,"9,821,365","94,484,950","204,437,928","94,484,950",25.21,1.32,4.25,31.87,"1,000,000"
A039030,이오테크닉스,12,2013,Annual,44.52,,"219,215,367","100,364,327",,"156,583,458",,"5,494,116","100,364,327","217,645,552","100,364,327",22.55,1.11,-6.20,30.81,"1,002,107"
A039030,이오테크닉스,12,2014,Annual,29.99,,"241,668,719","81,280,360",,"173,456,552",,"37,091,095","81,280,360","273,216,067","81,280,360",20.40,1.04,20.80,23.07,"1,025,312"
A039030,이오테크닉스,12,2015,Annual,19.72,,"234,736,880","58,620,342",,"160,642,297",,"25,500,895","58,620,342","233,716,182","58,620,342",20.21,1.29,-18.04,16.47,"1,828,765"
A039030,이오테크닉스,12,2016,Annual,30.22,,"256,358,897","91,521,897",,"180,655,077",,"34,054,198","91,521,897","285,077,306","91,521,897",18.85,1.28,11.73,23.21,"5,660,690"
A039030,이오테크닉스,12,2017,Annual,25.23,,"249,073,706","80,642,362",,"176,622,036",,"31,674,451","80,642,362","376,174,750","80,642,362",24.52,1.36,8.60,20.14,"6,135,689"
A039030,이오테크닉스,12,2018,Annual,16.23,,"221,708,501","49,638,803",,"156,436,275",,"37,505,587","49,638,803","271,472,082","49,638,803",28.38,1.64,21.96,13.96,"6,228,432"
A039030,이오테크닉스,12,2019,Annual,16.55,,"217,949,077","54,516,816",,"130,393,617",,"48,897,967","54,516,816","180,044,582","54,516,816",26.53,1.43,-11.69,14.20,"6,315,953"
A039030,이오테크닉스,12,2020,Annual,20.63,,"236,065,495","73,268,216",,"153,878,533",,"71,020,154","73,268,216","306,018,089","73,268,216",23.22,1.17,-5.59,17.10,"9,883,681"
A039030,이오테크닉스,12,2021,Annual,19.16,,"305,574,122","79,827,391",,"196,949,625",,"64,074,667","79,827,391","356,417,614","79,827,391",19.66,0.95,49.22,16.08,"9,060,403"
A039030,이오테크닉스,12,2022,Annual,17.15,,"362,175,576","80,906,535",,"241,790,393",,"127,689,609","80,906,535","409,143,031","80,906,535",17.24,0.75,-0.13,14.64,"9,198,410"
A214150,클래시스,12,2011,Annual,,,,,,,,,,,,,,,,
A214150,클래시스,12,2012,Annual,완전잠식,,"1,225,821","1,354,649",,"1,094,692",,450,"1,354,649","7,535,093","1,354,649",2.47,0.00,,104.35,0
A214150,클래시스,12,2013,Annual,,,,,,,,,,,,,,,,
A214150,클래시스,12,2014,Annual,,,,,,,,,,,,,,,,
A214150,클래시스,12,2015,Annual,34.97,,"10,023,546","3,130,933",,"8,355,252",,"6,718,230","3,130,933","14,996,489","3,130,933",3.95,0.23,,25.91,"588,360"
A214150,클래시스,12,2016,Annual,34.98,,"18,399,976","5,519,169",,"14,407,599",,"12,036,049","5,519,169","27,243,309","5,519,169",2.48,0.15,41.22,25.92,0
A214150,클래시스,12,2017,Annual,79.93,,"27,228,340","14,392,936",,"22,288,485",,"18,827,684","14,392,936","34,629,233","14,392,936",50.75,0.15,26.86,44.42,"203,916"
A214150,클래시스,12,2018,Annual,48.22,,"26,154,284","14,807,064",,"20,270,973",,"10,082,261","14,807,064","46,944,935","14,807,064",60.86,0.20,28.77,32.53,"6,000,000"
