Symbol,Name,결산월,회계년,주기,총자산회전율(회),매출채권회전율,매출액(천원),매출채권(천원),재고자산회전율,매출액(천원),재고자산(천원),총부채회전율(회),총자본회전율(회),자본금회전율(회),총자산(천원),매출원가(천원)
A145020,휴젤,12,2022,Annual,0.27,,"223,135,012","49,774,280",,"223,135,012","20,206,487",1.33,0.33,35.46,"826,560,147","65,711,551"
A065350,신성델타테크,12,2011,Annual,0.89,,"158,362,083","9,420,801",,"158,362,083","2,284,423",1.90,1.66,19.80,"177,083,147","142,607,139"
A065350,신성델타테크,12,2012,Annual,0.77,,"137,704,747","13,205,952",,"137,704,747","2,796,467",1.68,1.42,13.77,"181,459,574","118,435,637"
A065350,신성델타테크,12,2013,Annual,0.70,,"133,825,533","12,824,931",,"133,825,533","3,870,869",1.49,1.31,13.38,"202,636,648","114,634,591"
A065350,신성델타테크,12,2014,Annual,0.65,,"132,740,416","15,919,501",,"132,740,416","4,359,561",1.36,1.23,13.27,"207,812,752","115,324,275"
A065350,신성델타테크,12,2015,Annual,0.68,,"146,444,010","21,286,401",,"146,444,010","3,641,292",1.42,1.30,14.52,"222,948,312","126,223,103"
A065350,신성델타테크,12,2016,Annual,0.66,,"150,030,274","24,448,546",,"150,030,274","4,667,947",1.34,1.30,14.67,"231,876,981","127,888,753"
A065350,신성델타테크,12,2017,Annual,0.79,,"175,199,580","13,562,517",,"175,199,580","5,529,680",1.64,1.54,16.43,"209,093,101","146,723,579"
A065350,신성델타테크,12,2018,Annual,0.71,,"149,578,246","11,518,911",,"149,578,246","3,879,368",1.59,1.29,13.54,"211,522,000","129,344,974"
A065350,신성델타테크,12,2019,Annual,0.61,,"129,776,686","6,810,260",,"129,776,686","3,217,048",1.48,1.02,11.22,"216,865,840","114,530,039"
A065350,신성델타테크,12,2020,Annual,0.59,,"130,275,196","6,626,452",,"130,275,196","2,810,612",1.67,0.92,10.09,"221,675,673","113,808,539"
A065350,신성델타테크,12,2021,Annual,0.66,,"159,123,625","13,704,667",,"159,123,625","4,738,228",2.09,0.97,11.58,"258,193,427","141,870,973"
A065350,신성델타테크,12,2022,Annual,0.52,,"144,765,414","12,727,178",,"144,765,414","3,659,798",1.54,0.79,10.53,"298,479,632","126,186,130"
A000250,삼천당제약,12,2011,Annual,0.80,,"77,565,622","22,404,340",,"77,565,622","13,004,713",5.34,0.94,7.76,"98,530,396","36,374,995"
A000250,삼천당제약,12,2012,Annual,0.76,,"76,650,143","20,679,587",,"76,650,143","13,104,331",4.70,0.91,7.67,"102,568,738","38,577,319"
A000250,삼천당제약,12,2013,Annual,0.73,,"80,391,265","21,579,967",,"80,391,265","13,175,002",3.49,0.92,8.04,"117,559,510","38,797,819"
A000250,삼천당제약,12,2014,Annual,0.76,,"91,518,179","21,506,303",,"91,518,179","13,993,517",3.57,0.97,8.92,"122,210,857","45,241,371"
