Symbol,Name,결산월,회계년,주기,총자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),매출액(천원),매출채권(천원),매출원가(천원),재고자산(천원)
A251270,넷마블,12,2016,Annual,0.88,3.24,1.20,362.84,"1,500,015,761","244,209,688",0,"1,885,515"
A251270,넷마블,12,2017,Annual,0.66,3.17,0.84,317.37,"2,424,755,041","291,369,126",0,"2,357,959"
A251270,넷마블,12,2018,Annual,0.37,2.29,0.45,237.39,"2,021,272,799","182,257,156",0,"3,304,017"
A251270,넷마블,12,2019,Annual,0.39,2.14,0.47,254.80,"2,178,677,560","147,074,606",0,"5,125,003"
A251270,넷마블,12,2020,Annual,0.35,1.33,0.48,289.62,"2,484,764,986","181,819,506",0,"4,623,829"
A251270,넷마블,12,2021,Annual,0.27,0.69,0.43,291.84,"2,506,906,374","201,551,254",0,"3,963,811"
A251270,넷마블,12,2022,Annual,0.27,0.67,0.46,311.03,"2,673,408,276","189,638,547",0,"2,835,774"
A047810,한국항공우주,12,2011,Annual,0.79,1.43,1.77,2.80,"1,286,127,802","77,957,720","1,099,778,595","286,284,794"
A047810,한국항공우주,12,2012,Annual,0.84,1.60,1.77,3.15,"1,534,606,239","226,911,281","1,310,613,965","349,711,785"
A047810,한국항공우주,12,2013,Annual,1.03,1.93,2.21,4.07,"1,983,266,289","94,960,151","1,794,612,553","359,325,001"
A047810,한국항공우주,12,2014,Annual,1.15,2.16,2.44,4.78,"2,328,613,261","156,894,910","2,012,401,818","433,095,108"
A047810,한국항공우주,12,2015,Annual,1.24,2.25,2.74,6.24,"3,039,736,651","197,917,560","2,531,358,620","466,848,702"
A047810,한국항공우주,12,2016,Annual,1.02,1.88,2.22,6.05,"2,946,330,610","550,441,942","2,489,732,134","506,266,182"
A047810,한국항공우주,12,2017,Annual,0.67,1.16,1.60,4.25,"2,072,249,142","421,847,670","2,097,187,494","464,115,988"
A047810,한국항공우주,12,2018,Annual,0.80,1.17,2.54,5.72,"2,786,023,511","204,213,552","2,411,539,106","1,290,887,619"
A047810,한국항공우주,12,2019,Annual,0.77,1.06,2.78,6.38,"3,110,157,575","342,056,837","2,630,153,574","1,200,362,206"
A047810,한국항공우주,12,2020,Annual,0.59,0.79,2.34,5.80,"2,825,136,013","243,279,699","2,493,250,074","1,197,136,963"
A047810,한국항공우주,12,2021,Annual,0.47,0.60,2.02,5.26,"2,562,283,675","245,285,556","2,255,327,108","1,324,665,605"
A047810,한국항공우주,12,2022,Annual,0.41,0.51,2.03,5.72,"2,786,888,283","216,457,553","2,413,060,987","1,593,078,711"
A005070,코스모신소재,12,2011,Annual,0.75,1.45,1.53,2.25,"157,586,376","15,060,276","144,322,066","23,914,343"
A005070,코스모신소재,12,2012,Annual,0.57,0.99,1.34,1.85,"129,110,920","14,908,460","128,617,410","25,123,455"
A005070,코스모신소재,12,2013,Annual,0.60,0.96,1.63,2.12,"153,281,703","22,174,125","145,413,520","28,709,881"
A005070,코스모신소재,12,2014,Annual,0.55,0.81,1.74,1.99,"149,343,499","18,264,726","149,248,094","24,679,897"
A005070,코스모신소재,12,2015,Annual,0.55,0.73,2.21,1.78,"133,424,045","13,214,200","129,362,328","13,488,099"
A005070,코스모신소재,12,2016,Annual,0.84,1.08,3.80,2.53,"190,281,005","11,275,364","175,649,826","23,976,915"
A005070,코스모신소재,12,2017,Annual,1.47,2.08,5.01,3.74,"314,604,637","16,000,171","290,562,476","30,874,693"
A005070,코스모신소재,12,2018,Annual,2.46,3.92,6.58,9.49,"534,011,298","27,748,223","501,442,825","34,499,029"
A005070,코스모신소재,12,2019,Annual,0.97,1.86,2.04,9.96,"243,904,529","21,438,761","231,752,978","24,185,945"
A005070,코스모신소재,12,2020,Annual,0.65,1.37,1.25,6.98,"204,252,718","39,983,942","175,948,768","31,090,794"
A005070,코스모신소재,12,2021,Annual,0.86,1.86,1.60,10.31,"305,893,095","27,506,770","265,930,077","48,762,805"
A005070,코스모신소재,12,2022,Annual,1.21,2.83,2.13,15.99,"485,605,244","103,119,096","430,994,743","48,453,724"
