Symbol,Name,결산월,회계년,주기,총부채(천원)
A011720,현대페인트,12,2018,Annual,
A011720,현대페인트,12,2019,Annual,
A011720,현대페인트,12,2020,Annual,
A011720,현대페인트,12,2021,Annual,
A011720,현대페인트,12,2022,Annual,
A011800,배명금속,12,2011,Annual,"113,323,145"
A011800,배명금속,12,2012,Annual,
A011800,배명금속,12,2013,Annual,
A011800,배명금속,12,2014,Annual,
A011800,배명금속,12,2015,Annual,
A011800,배명금속,12,2016,Annual,
A011800,배명금속,12,2017,Annual,
A011800,배명금속,12,2018,Annual,
A011800,배명금속,12,2019,Annual,
A011800,배명금속,12,2020,Annual,
A011800,배명금속,12,2021,Annual,
A011800,배명금속,12,2022,Annual,
A011820,한국물산,12,2011,Annual,
A011820,한국물산,12,2012,Annual,
A011820,한국물산,12,2013,Annual,
A011820,한국물산,12,2014,Annual,
A011820,한국물산,12,2015,Annual,
A011820,한국물산,12,2016,Annual,
A011820,한국물산,12,2017,Annual,
A011820,한국물산,12,2018,Annual,
A011820,한국물산,12,2019,Annual,
A011820,한국물산,12,2020,Annual,
A011820,한국물산,12,2021,Annual,
A011820,한국물산,12,2022,Annual,
A011940,태영판지공업,12,2011,Annual,
A011940,태영판지공업,12,2012,Annual,
A011940,태영판지공업,12,2013,Annual,
A011940,태영판지공업,12,2014,Annual,
A011940,태영판지공업,12,2015,Annual,
A011940,태영판지공업,12,2016,Annual,
A011940,태영판지공업,12,2017,Annual,
A011940,태영판지공업,12,2018,Annual,
A011940,태영판지공업,12,2019,Annual,
A011940,태영판지공업,12,2020,Annual,
A011940,태영판지공업,12,2021,Annual,
A011940,태영판지공업,12,2022,Annual,
A012090,성원건설,12,2011,Annual,"145,963,060"
A012090,성원건설,12,2012,Annual,"135,981,721"
A012090,성원건설,12,2013,Annual,"131,920,310"
A012090,성원건설,12,2014,Annual,
A012090,성원건설,12,2015,Annual,
A012090,성원건설,12,2016,Annual,
A012090,성원건설,12,2017,Annual,
A012090,성원건설,12,2018,Annual,
A012090,성원건설,12,2019,Annual,
A012090,성원건설,12,2020,Annual,
A012090,성원건설,12,2021,Annual,
A012090,성원건설,12,2022,Annual,
A012150,동방개발,12,2011,Annual,
A012150,동방개발,12,2012,Annual,
A012150,동방개발,12,2013,Annual,
A012150,동방개발,12,2014,Annual,
A012150,동방개발,12,2015,Annual,
A012150,동방개발,12,2016,Annual,
A012150,동방개발,12,2017,Annual,
A012150,동방개발,12,2018,Annual,
A012150,동방개발,12,2019,Annual,
A012150,동방개발,12,2020,Annual,
A012150,동방개발,12,2021,Annual,
A012150,동방개발,12,2022,Annual,
A012220,동국전자,12,2011,Annual,
A012220,동국전자,12,2012,Annual,
A012220,동국전자,12,2013,Annual,
A012220,동국전자,12,2014,Annual,
A012220,동국전자,12,2015,Annual,
A012220,동국전자,12,2016,Annual,
A012220,동국전자,12,2017,Annual,
A012220,동국전자,12,2018,Annual,
A012220,동국전자,12,2019,Annual,
A012220,동국전자,12,2020,Annual,
A012220,동국전자,12,2021,Annual,
A012220,동국전자,12,2022,Annual,
A012250,셰프라인,12,2011,Annual,"8,436,632"
A012250,셰프라인,12,2012,Annual,"8,461,796"
