Symbol,Name,결산월,회계년,주기,유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),현금및현금성자산구성비율(%),영업이익(천원),이자비용(천원),유동자산(천원),유동부채(천원),당좌자산(천원)
A028260,삼성물산,12,2016,Annual,11.88,3.6,11.36,52.53,110.65,6.07,"139,524,591","209,223,703","13,358,554,456","14,704,948,364","12,045,725,318"
A028260,삼성물산,12,2017,Annual,10.17,2.67,9.46,48.72,95.02,6.1,"881,268,355","171,210,281","12,291,399,225","14,458,305,947","10,758,364,932"
A028260,삼성물산,12,2018,Annual,11.85,2.5,9.25,46.83,88.06,6.85,"1,103,890,168","187,993,670","13,671,291,830","13,016,831,196","11,971,990,810"
A028260,삼성물산,12,2019,Annual,10.73,1.92,9.54,41.85,71.98,5.89,"866,770,072","135,027,000","11,753,694,780","10,929,358,012","9,856,313,151"
A028260,삼성물산,12,2020,Annual,8.93,1.43,8.3,39.36,64.91,4.42,"857,079,814","94,486,517","12,923,608,254","10,889,640,070","10,904,345,133"
A028260,삼성물산,12,2021,Annual,9.47,1.34,8.2,39.63,65.64,4.08,"1,195,982,736","93,066,403","15,144,027,183","11,675,332,106","12,333,588,384"
A028260,삼성물산,12,2022,Annual,10.85,11.3,8.13,45.81,84.52,7.12,"2,528,524,414","188,358,102","20,312,841,473","16,413,402,987","16,204,046,099"
A012330,현대모비스,12,2011,Annual,14.7,3.81,5.33,38.9,63.66,9.12,"2,637,271,000","65,624,000","10,063,527,000","7,026,548,000","8,226,546,000"
A012330,현대모비스,12,2012,Annual,12.36,3.48,5.32,43.29,76.34,9.31,"2,906,385,000","51,124,000","13,793,445,000","7,066,349,000","11,825,011,000"
A012330,현대모비스,12,2013,Annual,11.29,2.84,5.52,41.35,70.5,7.19,"2,924,404,000","41,469,000","15,492,400,000","7,158,560,000","13,178,284,000"
A012330,현대모비스,12,2014,Annual,11.34,2.47,5.64,40.46,67.96,7.44,"3,141,242,000","40,128,000","17,626,908,000","7,874,561,000","15,236,050,000"
A012330,현대모비스,12,2015,Annual,21.04,2.46,6.14,32.03,47.12,6.61,"2,934,571,000","43,359,000","15,924,838,000","8,290,621,000","13,362,520,000"
A012330,현대모비스,12,2016,Annual,20.42,2.3,6.25,31.53,46.06,4.91,"2,904,692,000","41,778,000","18,263,133,000","8,833,409,000","15,432,998,000"
A012330,현대모비스,12,2017,Annual,19.66,2.29,6.94,29.66,42.16,5.77,"2,024,929,000","50,084,000","18,217,814,000","7,893,236,000","15,527,520,000"
A012330,현대모비스,12,2018,Annual,18.64,2.16,7.23,28.71,40.28,5.42,"2,024,957,000","63,662,000","19,720,482,000","8,242,176,000","16,957,567,000"
A012330,현대모비스,12,2019,Annual,18.46,1.96,7.54,30.46,43.8,7.17,"2,359,257,000","75,005,000","21,504,648,000","8,962,268,000","18,470,478,000"
A012330,현대모비스,12,2020,Annual,17.98,1.82,7.85,31.28,45.52,8.67,"1,830,292,000","54,543,000","22,902,943,000","10,082,189,000","19,845,738,000"
A012330,현대모비스,12,2021,Annual,17.74,1.78,7.73,31.32,45.61,8.07,"2,040,112,000","38,621,000","23,552,362,000","10,076,987,000","19,277,396,000"
A012330,현대모비스,12,2022,Annual,16.91,1.74,7.63,31.76,46.55,7.38,"2,026,531,000","75,646,000","25,659,721,000","11,476,170,000","20,392,555,000"
A055550,신한지주,12,2011,Annual,1.04,1.46,21.33,90.68,972.43,0.74,"4,172,386,000",0,,,
A055550,신한지주,12,2012,Annual,1.02,1.38,20.65,90.52,954.67,0.98,"3,177,967,000","7,018,391,000",,,
A055550,신한지주,12,2013,Annual,1.03,1.36,18.14,90.41,942.67,0.85,"2,631,999,000","5,986,438,000",,,
A055550,신한지주,12,2014,Annual,0.93,1.23,19.83,90.97,"1,007.73",0.75,"2,654,810,000","5,270,707,000",,,
A055550,신한지주,12,2015,Annual,0.82,1.15,19.38,91.41,"1,064.77",0.53,"2,973,141,000","4,436,771,000",,,
A055550,신한지주,12,2016,Annual,0.79,1.07,20.23,91.98,"1,146.43",0.46,"3,108,642,000","4,030,936,000",,,
A055550,신한지주,12,2017,Annual,0.71,1,20.06,92.09,"1,164.87",0.42,"3,830,026,000","3,955,701,000",,,
