Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원)
A003670,포스코퓨처엠,12,2019,Annual,"1,006,317,943","723,814,622"
A003670,포스코퓨처엠,12,2020,Annual,"1,023,617,314","1,064,436,010"
A003670,포스코퓨처엠,12,2021,Annual,"2,438,429,932","1,484,050,372"
A003670,포스코퓨처엠,12,2022,Annual,"2,650,644,639","1,986,831,501"
A032830,삼성생명,3,2011,Annual,"18,113,192,000","142,959,186,000"
A032830,삼성생명,3,2012,Annual,"21,780,967,000","164,367,895,000"
A032830,삼성생명,12,2013,Annual,"19,030,391,000","173,908,992,000"
A032830,삼성생명,12,2014,Annual,"22,284,739,000","192,148,975,000"
A032830,삼성생명,12,2015,Annual,"23,721,745,000","206,641,151,000"
A032830,삼성생명,12,2016,Annual,"28,308,448,000","236,345,353,000"
A032830,삼성생명,12,2017,Annual,"31,121,572,000","251,592,245,000"
A032830,삼성생명,12,2018,Annual,"30,505,459,000","258,922,196,000"
A032830,삼성생명,12,2019,Annual,"37,316,405,000","275,445,867,000"
A032830,삼성생명,12,2020,Annual,"43,610,634,000","292,958,653,000"
A032830,삼성생명,12,2021,Annual,"39,625,367,000","301,757,207,000"
A032830,삼성생명,12,2022,Annual,"41,562,020,000","254,672,143,000"
A086790,하나금융지주,12,2011,Annual,"14,820,938,000","163,407,944,000"
A086790,하나금융지주,12,2012,Annual,"20,342,437,000","264,572,651,000"
A086790,하나금융지주,12,2013,Annual,"20,889,625,000","274,299,014,000"
A086790,하나금융지주,12,2014,Annual,"21,893,642,000","293,654,604,000"
A086790,하나금융지주,12,2015,Annual,"22,971,744,000","303,940,964,000"
A086790,하나금융지주,12,2016,Annual,"23,390,038,000","324,787,453,000"
A086790,하나금융지주,12,2017,Annual,"24,827,944,000","335,261,405,000"
A086790,하나금융지주,12,2018,Annual,"27,108,460,000","357,900,160,000"
A086790,하나금융지주,12,2019,Annual,"28,984,773,000","392,482,326,000"
A086790,하나금융지주,12,2020,Annual,"31,600,288,000","429,346,758,000"
A086790,하나금융지주,12,2021,Annual,"35,499,340,000","466,945,930,000"
A086790,하나금융지주,12,2022,Annual,"37,628,148,000","530,975,132,000"
A066570,LG전자,12,2011,Annual,"13,148,248,000","19,510,209,000"
A066570,LG전자,12,2012,Annual,"12,705,747,000","22,060,303,000"
A066570,LG전자,12,2013,Annual,"12,689,369,000","22,838,695,000"
A066570,LG전자,12,2014,Annual,"12,991,097,000","24,077,323,000"
A066570,LG전자,12,2015,Annual,"12,983,487,000","23,330,409,000"
A066570,LG전자,12,2016,Annual,"13,356,742,000","24,498,527,000"
A066570,LG전자,12,2017,Annual,"14,673,684,000","26,547,275,000"
A066570,LG전자,12,2018,Annual,"16,306,907,000","28,021,536,000"
A066570,LG전자,12,2019,Annual,"16,425,138,000","28,434,737,000"
A066570,LG전자,12,2020,Annual,"17,542,125,000","30,662,102,000"
A066570,LG전자,12,2021,Annual,"20,098,033,000","33,383,445,000"
A066570,LG전자,12,2022,Annual,"22,491,997,000","32,664,144,000"
A138040,메리츠금융지주,3,2011,Annual,"1,567,320,603","8,180,560,956"
A138040,메리츠금융지주,3,2012,Annual,"2,177,368,677","17,386,642,637"
A138040,메리츠금융지주,12,2013,Annual,"2,156,567,751","18,950,917,408"
A138040,메리츠금융지주,12,2014,Annual,"2,999,672,776","23,762,875,924"
A138040,메리츠금융지주,12,2015,Annual,"3,629,338,288","28,396,945,068"
A138040,메리츠금융지주,12,2016,Annual,"3,986,593,040","33,557,131,195"
A138040,메리츠금융지주,12,2017,Annual,"4,831,917,642","37,220,911,741"
A138040,메리츠금융지주,12,2018,Annual,"5,454,636,723","46,750,583,508"
A138040,메리츠금융지주,12,2019,Annual,"5,961,867,968","55,802,205,729"
A138040,메리츠금융지주,12,2020,Annual,"6,877,309,401","62,687,116,178"
A138040,메리츠금융지주,12,2021,Annual,"6,883,289,019","75,147,647,741"
A138040,메리츠금융지주,12,2022,Annual,"8,541,970,795","80,435,428,575"
A042700,한미반도체,12,2011,Annual,"169,789,986","34,927,141"
A042700,한미반도체,12,2012,Annual,"183,034,689","47,957,284"
A042700,한미반도체,12,2013,Annual,"182,717,293","58,011,146"
A042700,한미반도체,12,2014,Annual,"204,953,051","43,307,024"
A042700,한미반도체,12,2015,Annual,"193,961,276","31,598,220"
A042700,한미반도체,12,2016,Annual,"209,344,806","75,643,574"
A042700,한미반도체,12,2017,Annual,"206,173,287","78,890,957"
A042700,한미반도체,12,2018,Annual,"215,557,067","30,471,881"
A042700,한미반도체,12,2019,Annual,"219,705,202","37,769,480"
A042700,한미반도체,12,2020,Annual,"257,090,543","69,876,325"
A042700,한미반도체,12,2021,Annual,"346,812,042","82,473,641"
A042700,한미반도체,12,2022,Annual,"390,096,756","65,336,210"
A000810,삼성화재,3,2011,Annual,"7,742,702,408","31,398,048,996"
A000810,삼성화재,3,2012,Annual,"8,969,032,884","37,179,562,326"
A000810,삼성화재,12,2013,Annual,"7,888,514,679","41,553,469,513"
A000810,삼성화재,12,2014,Annual,"9,538,804,177","48,644,752,937"
A000810,삼성화재,12,2015,Annual,"10,085,250,714","53,148,344,989"
A000810,삼성화재,12,2016,Annual,"11,008,232,367","57,209,272,160"
A000810,삼성화재,12,2017,Annual,"12,008,278,815","64,006,909,647"
A000810,삼성화재,12,2018,Annual,"12,365,530,471","67,025,123,898"
A000810,삼성화재,12,2019,Annual,"14,321,435,438","70,850,736,656"
A000810,삼성화재,12,2020,Annual,"16,282,534,740","76,313,844,152"
A000810,삼성화재,12,2021,Annual,"15,492,331,781","79,441,679,330"
A000810,삼성화재,12,2022,Annual,"12,523,472,715","68,272,537,720"
A015760,한국전력,12,2011,Annual,"53,803,950,000","82,663,900,000"
A015760,한국전력,12,2012,Annual,"51,064,202,000","95,088,618,000"
A015760,한국전력,12,2013,Annual,"51,450,736,000","104,076,598,000"
A015760,한국전력,12,2014,Annual,"54,825,010,000","108,883,279,000"
A015760,한국전력,12,2015,Annual,"67,942,475,000","107,314,884,000"
A015760,한국전력,12,2016,Annual,"73,050,545,000","104,786,497,000"
A015760,한국전력,12,2017,Annual,"72,964,641,000","108,824,274,000"
A015760,한국전력,12,2018,Annual,"71,092,762,000","114,156,299,000"
A015760,한국전력,12,2019,Annual,"68,889,649,000","128,708,143,000"
A015760,한국전력,12,2020,Annual,"70,666,846,000","132,475,265,000"
A015760,한국전력,12,2021,Annual,"65,326,706,000","145,797,021,000"
A015760,한국전력,12,2022,Annual,"42,000,256,000","192,804,738,000"
A003550,LG,12,2011,Annual,"10,960,447,000","4,200,204,000"
A003550,LG,12,2012,Annual,"11,545,400,000","4,302,676,000"
A003550,LG,12,2013,Annual,"12,105,291,000","4,444,886,000"
A003550,LG,12,2014,Annual,"12,585,835,000","4,746,872,000"
A003550,LG,12,2015,Annual,"13,308,244,000","4,815,156,000"
A003550,LG,12,2016,Annual,"14,220,084,000","5,269,358,000"
A003550,LG,12,2017,Annual,"16,179,511,000","5,468,186,000"
A003550,LG,12,2018,Annual,"18,164,478,000","4,671,433,000"
A003550,LG,12,2019,Annual,"19,021,021,000","3,413,609,000"
A003550,LG,12,2020,Annual,"20,861,290,000","3,420,978,000"
A003550,LG,12,2021,Annual,"21,940,221,000","3,729,575,000"
A003550,LG,12,2022,Annual,"26,234,186,000","3,399,491,000"
A323410,카카오뱅크,12,2011,Annual,,
A323410,카카오뱅크,12,2012,Annual,,
A323410,카카오뱅크,12,2013,Annual,,
A323410,카카오뱅크,12,2014,Annual,,
A323410,카카오뱅크,12,2015,Annual,,
A323410,카카오뱅크,12,2016,Annual,"280,368,370","2,652,024"
A323410,카카오뱅크,12,2017,Annual,"667,856,775","5,174,347,978"
A323410,카카오뱅크,12,2018,Annual,"1,140,407,742","10,986,315,072"
A323410,카카오뱅크,12,2019,Annual,"1,678,720,823","21,045,386,917"
A323410,카카오뱅크,12,2020,Annual,"2,796,962,000","23,853,028,000"
A323410,카카오뱅크,12,2021,Annual,"5,521,370,000","30,518,698,000"
A323410,카카오뱅크,12,2022,Annual,"5,715,110,000","33,800,969,000"
A034730,SK,12,2011,Annual,"2,257,373,069","2,363,892,980"
A034730,SK,12,2012,Annual,"2,236,902,608","2,885,073,569"
A034730,SK,12,2013,Annual,"2,500,803,776","2,792,125,999"
A034730,SK,12,2014,Annual,"2,602,368,000","2,704,671,000"
A034730,SK,12,2015,Annual,"40,077,250,000","56,556,559,000"
A034730,SK,12,2016,Annual,"42,326,724,000","60,720,613,000"
A034730,SK,12,2017,Annual,"45,756,420,000","64,027,043,000"
A034730,SK,12,2018,Annual,"50,887,872,000","68,569,119,000"
A034730,SK,12,2019,Annual,"52,176,032,000","80,435,391,000"
A034730,SK,12,2020,Annual,"51,859,918,000","85,807,988,000"
A034730,SK,12,2021,Annual,"65,552,651,000","99,815,712,000"
A034730,SK,12,2022,Annual,"71,808,790,000","122,697,070,000"
A009150,삼성전기,12,2011,Annual,"3,875,787,787","3,453,073,973"
A009150,삼성전기,12,2012,Annual,"3,965,648,035","2,925,816,316"
A009150,삼성전기,12,2013,Annual,"4,258,027,439","2,927,315,539"
A009150,삼성전기,12,2014,Annual,"4,642,796,080","3,075,815,905"
A009150,삼성전기,12,2015,Annual,"4,315,383,218","2,954,069,645"
A009150,삼성전기,12,2016,Annual,"4,337,585,298","3,325,043,961"
