Symbol,Name,결산월,회계년,주기,고정자산회전율,매출액(천원),비유동자산(천원)
A105560,KB금융,12,2019,Annual,,14639187000,
A105560,KB금융,12,2020,Annual,,14485747000,
A105560,KB금융,12,2021,Annual,,15210878000,
A105560,KB금융,12,2022,Annual,,20787577000,
A028260,삼성물산,12,2011,Annual,0.537601097,2687236822,4998570202
A028260,삼성물산,12,2012,Annual,0.457063224,2702559870,5912879720
A028260,삼성물산,12,2013,Annual,0.474354091,3226058705,6800950528
A028260,삼성물산,12,2014,Annual,0.681096519,5129564426,7531332617
A028260,삼성물산,12,2015,Annual,0.447503066,13344675370,29820299324
A028260,삼성물산,12,2016,Annual,0.903624409,28102683823,31099960933
A028260,삼성물산,12,2017,Annual,0.796546081,29279045518,36757503712
A028260,삼성물산,12,2018,Annual,1.084226436,31155636887,28735359928
A028260,삼성물산,12,2019,Annual,0.900727968,30761501059,34151821820
A028260,삼성물산,12,2020,Annual,0.72971461,30216118917,41408132012
A028260,삼성물산,12,2021,Annual,0.859201559,34455181883,40101395931
A028260,삼성물산,12,2022,Annual,1.116192375,43161653400,38668650994
A051910,LG화학,12,2011,Annual,2.824091065,22675593000,8029342000
A051910,LG화학,12,2012,Annual,2.548474044,23263019000,9128215000
A051910,LG화학,12,2013,Annual,2.458203729,23143612000,9414847000
A051910,LG화학,12,2014,Annual,2.262120616,22577830000,9980825000
A051910,LG화학,12,2015,Annual,2.036312862,20206583000,9923123000
A051910,LG화학,12,2016,Annual,1.834730446,20659296000,11260126000
A051910,LG화학,12,2017,Annual,1.857378047,25698014000,13835640000
A051910,LG화학,12,2018,Annual,1.672024206,28183013000,16855625000
A051910,LG화학,12,2019,Annual,1.234639852,27353078000,22154702000
A051910,LG화학,12,2020,Annual,1.199036235,30058872000,25069194000
A051910,LG화학,12,2021,Annual,1.386628549,42599284000,30721482000
A051910,LG화학,12,2022,Annual,1.331174356,50983251000,38299454000
A055550,신한지주,12,2011,Annual,,13780714000,
A055550,신한지주,12,2012,Annual,,13998109000,
A055550,신한지주,12,2013,Annual,,12591322000,
A055550,신한지주,12,2014,Annual,,12060507000,
A055550,신한지주,12,2015,Annual,,11129704000,
A055550,신한지주,12,2016,Annual,,11236302000,
A055550,신한지주,12,2017,Annual,,11798654000,
A055550,신한지주,12,2018,Annual,,13572456000,
A055550,신한지주,12,2019,Annual,,15707362000,
A055550,신한지주,12,2020,Annual,,14773996000,
A055550,신한지주,12,2021,Annual,,14724230000,
A055550,신한지주,12,2022,Annual,,20092325000,
A012330,현대모비스,12,2011,Annual,2.10152851,26294579000,12512121000
A012330,현대모비스,12,2012,Annual,1.912884086,30789019000,16095601000
A012330,현대모비스,12,2013,Annual,1.82747929,34198594000,18713533000
A012330,현대모비스,12,2014,Annual,1.662866133,35126612000,21124137000
A012330,현대모비스,12,2015,Annual,1.648501476,36019749000,21849995000
A012330,현대모비스,12,2016,Annual,1.631737032,38261745000,23448475000
A012330,현대모비스,12,2017,Annual,1.494305563,35144580000,23519005000
A012330,현대모비스,12,2018,Annual,1.505277969,35149219000,23350650000
A012330,현대모비스,12,2019,Annual,1.515801658,38048768000,25101416000
A012330,현대모비스,12,2020,Annual,1.431017233,36626504000,25594733000
A012330,현대모비스,12,2021,Annual,1.4930871,41702184000,27930175000
A012330,현대모비스,12,2022,Annual,1.744926653,51906293000,29746977000
A035720,카카오,12,2011,Annual,1.796080541,421266779,234547822
A035720,카카오,12,2012,Annual,1.715147035,453387737,264343364
A035720,카카오,12,2013,Annual,5.743782353,210775882,36696356
A035720,카카오,12,2014,Annual,0.25326145,498857729,1969734156
A035720,카카오,12,2015,Annual,0.420188947,932151827,2218411109
A035720,카카오,12,2016,Annual,0.343139952,1464232790,4267159164
A035720,카카오,12,2017,Annual,0.452749319,1972326479,4356332294
A035720,카카오,12,2018,Annual,0.47386511,2416992441,5100591691
A035720,카카오,12,2019,Annual,0.519681868,3070111365,5907674590
A035720,카카오,12,2020,Annual,0.582661952,4071392494,6987572258
