Symbol,Name,결산월,회계년,주기,총자본(천원)
A003550,LG,12,2013,Annual,"12,105,291,000"
A003550,LG,12,2014,Annual,"12,585,835,000"
A003550,LG,12,2015,Annual,"13,308,244,000"
A003550,LG,12,2016,Annual,"14,220,084,000"
A003550,LG,12,2017,Annual,"16,179,511,000"
A003550,LG,12,2018,Annual,"18,164,478,000"
A003550,LG,12,2019,Annual,"19,021,021,000"
A003550,LG,12,2020,Annual,"20,861,290,000"
A003550,LG,12,2021,Annual,"21,940,221,000"
A003550,LG,12,2022,Annual,"26,234,186,000"
A323410,카카오뱅크,12,2011,Annual,
A323410,카카오뱅크,12,2012,Annual,
A323410,카카오뱅크,12,2013,Annual,
A323410,카카오뱅크,12,2014,Annual,
A323410,카카오뱅크,12,2015,Annual,
A323410,카카오뱅크,12,2016,Annual,"280,368,370"
A323410,카카오뱅크,12,2017,Annual,"667,856,775"
A323410,카카오뱅크,12,2018,Annual,"1,140,407,742"
A323410,카카오뱅크,12,2019,Annual,"1,678,720,823"
A323410,카카오뱅크,12,2020,Annual,"2,796,962,000"
A323410,카카오뱅크,12,2021,Annual,"5,521,370,000"
A323410,카카오뱅크,12,2022,Annual,"5,715,110,000"
A034730,SK,12,2011,Annual,"2,257,373,069"
A034730,SK,12,2012,Annual,"2,236,902,608"
A034730,SK,12,2013,Annual,"2,500,803,776"
A034730,SK,12,2014,Annual,"2,602,368,000"
A034730,SK,12,2015,Annual,"40,077,250,000"
A034730,SK,12,2016,Annual,"42,326,724,000"
A034730,SK,12,2017,Annual,"45,756,420,000"
A034730,SK,12,2018,Annual,"50,887,872,000"
A034730,SK,12,2019,Annual,"52,176,032,000"
A034730,SK,12,2020,Annual,"51,859,918,000"
A034730,SK,12,2021,Annual,"65,552,651,000"
A034730,SK,12,2022,Annual,"71,808,790,000"
A009150,삼성전기,12,2011,Annual,"3,875,787,787"
A009150,삼성전기,12,2012,Annual,"3,965,648,035"
A009150,삼성전기,12,2013,Annual,"4,258,027,439"
A009150,삼성전기,12,2014,Annual,"4,642,796,080"
A009150,삼성전기,12,2015,Annual,"4,315,383,218"
A009150,삼성전기,12,2016,Annual,"4,337,585,298"
A009150,삼성전기,12,2017,Annual,"4,331,491,386"
A009150,삼성전기,12,2018,Annual,"4,946,497,556"
A009150,삼성전기,12,2019,Annual,"5,430,096,886"
A009150,삼성전기,12,2020,Annual,"5,910,395,940"
A009150,삼성전기,12,2021,Annual,"6,871,125,643"
