Symbol,Name,결산월,회계년,주기,유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),영업이익(천원),이자비용(천원),현금및현금성자산구성비율(%),유동자산(천원),유동부채(천원),당좌자산(천원)
A039030,이오테크닉스,12,2020,Annual,27.44,1.15,12.44,14.83,17.41,"38,485,391","184,301",20.12,"283,812,070","70,299,708","179,921,920"
A039030,이오테크닉스,12,2021,Annual,22.84,0.92,13.44,14.36,16.76,"78,136,358","165,763",16.40,"370,725,059","80,666,358","223,632,536"
A039030,이오테크닉스,12,2022,Annual,19.85,0.74,13.41,12.46,14.24,"92,798,681","329,656",25.85,"423,736,682","76,183,627","262,252,679"
A065350,신성델타테크,12,2011,Annual,55.33,1.59,5.94,66.28,196.55,"7,910,999","4,572,231",3.96,"104,710,299","118,672,766","89,162,489"
A065350,신성델타테크,12,2012,Annual,52.53,0.61,7.28,62.87,169.32,"10,808,231","4,725,262",3.49,"94,368,269","107,886,842","79,467,847"
A065350,신성델타테크,12,2013,Annual,50.69,0.86,7.81,64.30,180.13,"7,490,680","4,279,654",5.09,"107,068,198","106,114,862","94,409,715"
A065350,신성델타테크,12,2014,Annual,52.12,1.98,7.78,65.30,188.15,"3,437,477","4,157,159",5.10,"101,921,694","134,292,951","88,332,609"
A065350,신성델타테크,12,2015,Annual,51.23,1.76,9.69,68.20,214.44,"8,060,456","5,225,536",4.73,"127,398,338","156,519,621","110,089,739"
A065350,신성델타테크,12,2016,Annual,49.38,0.88,9.35,70.31,236.78,"12,558,654","4,669,691",6.67,"149,460,013","177,962,567","128,558,169"
A065350,신성델타테크,12,2017,Annual,49.95,0.45,8.23,64.69,183.22,"18,205,396","4,304,591",6.00,"149,118,182","163,876,919","127,615,102"
A065350,신성델타테크,12,2018,Annual,50.92,0.44,8.22,63.43,173.42,"13,007,865","4,704,988",3.78,"133,932,731","151,618,722","113,920,248"
A065350,신성델타테크,12,2019,Annual,47.79,0.70,8.05,61.63,160.59,"11,549,952","5,057,313",6.18,"143,602,350","167,089,952","117,170,073"
A065350,신성델타테크,12,2020,Annual,39.16,0.46,6.49,60.60,153.82,"13,360,153","4,027,714",7.73,"202,712,024","212,480,949","174,175,192"
A065350,신성델타테크,12,2021,Annual,38.25,1.26,7.67,62.19,164.50,"35,038,746","4,150,991",6.47,"273,952,674","284,252,239","209,224,243"
A065350,신성델타테크,12,2022,Annual,36.38,1.73,7.29,65.84,192.72,"32,024,714","6,931,566",5.23,"331,626,902","355,595,904","260,777,226"
A005290,동진쎄미켐,12,2011,Annual,51.22,4.75,9.52,75.82,313.62,"8,761,191",0,5.38,"199,286,227","335,611,085","127,709,423"
A005290,동진쎄미켐,12,2012,Annual,54.09,4.45,8.69,77.44,343.31,"27,350,802",0,4.16,"202,773,110","360,799,278","150,265,442"
A005290,동진쎄미켐,12,2013,Annual,55.41,4.30,9.53,77.70,348.47,"23,428,009",0,5.32,"208,914,212","384,533,315","156,396,088"
A005290,동진쎄미켐,12,2014,Annual,54.33,3.80,9.34,77.88,352.10,"37,734,634",0,4.50,"228,112,231","409,636,593","165,038,481"
A005290,동진쎄미켐,12,2015,Annual,50.96,3.20,9.88,74.00,284.61,"58,451,963",0,8.54,"255,672,477","424,930,737","189,728,470"
